# "doi prefix" "# non-data doi" "# data doi"
10.1589 30 0
10.5586 29 0
10.5021 29 0
10.4329 29 0
10.3944 29 0
10.1658 29 0
10.1112 29 0
10.5915 28 0
10.5507 28 0
10.5423 28 0
10.5056 28 0
10.4293 28 0
10.4066 28 0
10.3186 28 0
10.7861 27 0
10.5114 27 0
10.4248 27 0
10.4102 27 0
10.4048 27 0
10.3345 27 0
10.3167 27 0
10.2141 27 0
10.1669 27 0
10.3409 26 0
10.3391 26 0
10.2515 26 0
10.1647 26 0
10.1516 26 0
10.5555 25 0
10.4331 25 0
10.4271 25 0
10.4196 25 0
10.3198 25 0
10.3197 25 0
10.3103 25 0
10.2739 25 0
10.16 25 0
10.1045 25 0
10.4414 24 0
10.4330 24 0
10.1274 24 0
10.4239 23 0
10.4018 23 0
10.3950 23 0
10.3371 23 0
10.2326 23 0
10.1894 23 0
10.5101 22 0
10.3821 22 0
10.3342 22 0
10.3310 22 0
10.2489 22 0
10.1623 22 0
10.1596 22 0
10.1561 22 0
10.1537 22 0
10.3358 21 0
10.3159 21 0
10.2744 21 0
10.7812 20 0
10.5833 20 0
10.4140 20 0
10.3746 20 0
10.3374 20 0
# 10.3205 20 362
10.2341 20 0
10.1526 20 0
10.6061 19 0
10.5665 19 0
10.5264 19 0
10.4265 19 0
10.4003 19 0
10.3819 19 0
10.3767 19 0
10.2390 19 0
10.1138 19 0
10.7448 18 0
10.5306 18 0
10.5252 18 0
10.4240 18 0
10.3104 18 0
10.2988 18 0
10.2344 18 0
10.2209 18 0
10.2109 18 0
10.1896 18 0
10.1489 18 0
10.1151 18 0
10.5897 17 0
10.4289 17 0
10.4097 17 0
10.4080 17 0
10.3919 17 0
10.3806 17 0
10.3209 17 0
10.2148 17 0
10.2142 17 0
10.1684 17 0
10.1654 17 0
10.1640 17 0
10.1505 17 0
10.1273 17 0
10.5966 16 0
10.4997 16 0
10.4322 16 0
10.4317 16 0
10.4045 16 0
10.4031 16 0
10.4002 16 0
10.371 16 0
10.3366 16 0
10.3150 16 0
10.2535 16 0
10.2112 16 0
10.1294 16 0
10.1106 16 0
10.5042 15 0
10.4338 15 0
10.4274 15 0
10.4252 15 0
10.4166 15 0
10.4077 15 0
10.4052 15 0
10.3958 15 0
10.3733 15 0
10.3377 15 0
10.3275 15 0
10.3144 15 0
10.2204 15 0
10.2117 15 0
10.1662 15 0
10.1576 15 0
10.12659 15 0
10.1238 15 0
10.5761 14 0
10.5713 14 0
10.5152 14 0
10.3393 14 0
10.2957 14 0
10.2511 14 0
10.2481 14 0
10.2476 14 0
10.2187 14 0
10.1664 14 0
10.1293 14 0
10.007 14 0
10.5740 13 0
10.5115 13 0
10.4291 13 0
10.4001 13 0
10.3353 13 0
10.3112 13 0
10.2960 13 0
10.2517 13 0
10.2450 13 0
10.2111 13 0
10.1680 13 0
10.1660 13 0
10.1635 13 0
10.7208 12 0
10.5830 12 0
10.5754 12 0
10.5692 12 0
10.5661 12 0
10.5603 12 0
10.5344 12 0
10.5253 12 0
10.5248 12 0
10.5230 12 0
10.4184 12 0
10.4098 12 0
10.3760 12 0
10.3134 12 0
10.2982 12 0
10.2308 12 0
10.2172 12 0
10.2151 12 0
10.1386 12 0
10.7717 11 0
10.5808 11 0
10.5531 11 0
10.4992 11 0
10.4132 11 0
10.4062 11 0
10.4046 11 0
10.4017 11 0
10.3321 11 0
10.3106 11 0
10.2973 11 0
10.2480 11 0
10.2349 11 0
10.2345 11 0
10.1564 11 0
10.1553 11 0
10.1306 11 0
10.1202 11 0
10.107 11 0
10.106 11 0
10.7555 10 0
10.5589 10 0
10.5435 10 0
10.5405 10 0
10.5367 10 0
10.5055 10 0
10.5006 10 0
10.4250 10 0
10.4174 10 0
10.3982 10 0
10.3978 10 0
10.3969 10 0
10.3908 10 0
10.3415 10 0
10.3413 10 0
10.3398 10 0
10.2788 10 0
10.2495 10 0
10.2351 10 0
10.2333 10 0
10.2304 10 0
10.2300 10 0
10.2177 10 0
10.2167 10 0
10.1691 10 0
10.1646 10 0
10.1533 10 0
10.1380 10 0
10.1234 10 0
10.11646 10 0
10.002 10 0
10.5751 9 0
10.5625 9 0
10.5607 9 0
10.5415 9 0
10.5363 9 0
10.5214 9 0
10.5138 9 0
10.4300 9 0
10.4276 9 0
10.4258 9 0
10.4253 9 0
10.4040 9 0
10.4015 9 0
10.3834 9 0
10.3814 9 0
10.3755 9 0
10.3397 9 0
10.3362 9 0
10.3185 9 0
10.2979 9 0
10.2494 9 0
10.2198 9 0
10.2182 9 0
10.2140 9 0
10.5697 8 0
10.5582 8 0
10.5491 8 0
10.5249 8 0
10.5099 8 0
10.5059 8 0
10.4082 8 0
10.3955 8 0
10.3807 8 0
10.3375 8 0
10.3367 8 0
10.3327 8 0
10.3318 8 0
10.3126 8 0
10.2900 8 0
10.2516 8 0
10.2482 8 0
10.2330 8 0
10.2277 8 0
10.1893 8 0
10.1587 8 0
10.1216 8 0
10.7883 7 0
10.7589 7 0
10.6028 7 0
10.5820 7 0
10.5505 7 0
10.5414 7 0
10.5274 7 0
10.5254 7 0
10.5124 7 0
10.5045 7 0
10.4490 7 0
10.4327 7 0
10.4257 7 0
10.4024 7 0
10.3998 7 0
10.3922 7 0
10.3839 7 0
10.3793 7 0
10.3788 7 0
10.3759 7 0
10.3400 7 0
10.3394 7 0
10.3384 7 0
10.3372 7 0
10.3170 7 0
10.3139 7 0
10.3137 7 0
10.3117 7 0
10.2528 7 0
10.2309 7 0
10.2222 7 0
10.2137 7 0
10.1174 7 0
10.1011 7 0
10.10007 7 0
10.10002 7 0
10.097 7 0
10.5698 6 0
10.5210 6 0
10.5127 6 0
10.5120 6 0
10.5051 6 0
10.5038 6 0
10.4489 6 0
10.4324 6 0
10.4261 6 0
10.4135 6 0
10.3885 6 0
10.3843 6 0
10.3813 6 0
10.3356 6 0
10.3183 6 0
10.3166 6 0
10.2984 6 0
10.2343 6 0
10.2316 6 0
10.231 6 0
10.2201 6 0
10.2200 6 0
10.2189 6 0
10.2150 6 0
10.1629 6 0
10.1616 6 0
10.1606 6 0
10.1595 6 0
10.1558 6 0
10.1512 6 0
10.1362 6 0
10.1347 6 0
10.11186 6 0
10.1092 6 0
10.1022 6 0
10.101098 6 0
10.101 6 0
10.7224 5 0
10.6090 5 0
10.6064 5 0
10.5840 5 0
10.5826 5 0
10.5811 5 0
10.5735 5 0
10.5644 5 0
10.5604 5 0
10.5598 5 0
10.5535 5 0
10.5480 5 0
10.5406 5 0
10.5336 5 0
10.5326 5 0
10.5213 5 0
10.5197 5 0
10.5153 5 0
10.5041 5 0
10.5032 5 0
10.4555 5 0
10.4303 5 0
10.4078 5 0
10.4074 5 0
10.4073 5 0
10.4068 5 0
10.3999 5 0
10.3995 5 0
10.3947 5 0
10.3912 5 0
10.3826 5 0
10.3800 5 0
10.3753 5 0
10.3418 5 0
